epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.33354,1.89833,2.82235,1.09827,0.70516,0.22912,0.25571,0.12145,1.80702,1.80609,1.00765,0.000367394,0.000367394,0.000367394
2,17.2582,1.81029,1.54825,1.04114,0.77456,0.34259,0.35691,0.17529,1.65266,1.31352,0.97264,0.000723121,0.000723121,0.000723121
3,26.1554,1.73141,1.36294,1.01003,0.79279,0.34458,0.36946,0.17801,1.66457,1.3039,0.99738,0.00106418,0.00106418,0.00106418
4,34.5458,1.69161,1.28103,1.0136,0.79068,0.35136,0.37373,0.18599,1.58541,1.24822,0.97557,0.00104501,0.00104501,0.00104501
5,41.4942,1.6708,1.21336,0.9897,0.80399,0.36751,0.38973,0.19074,1.63428,1.09275,0.97266,0.00102301,0.00102301,0.00102301
6,50.389,1.58753,1.131,0.98613,0.80159,0.38407,0.40345,0.2076,1.53196,1.08081,0.94504,0.00100101,0.00100101,0.00100101
7,59.1576,1.5995,1.1394,0.98693,0.82119,0.36685,0.40127,0.20949,1.5377,1.05342,0.94966,0.000979013,0.000979013,0.000979013
8,65.8596,1.56922,1.07204,0.97098,0.83527,0.38302,0.43433,0.23453,1.4699,0.94245,0.93695,0.000957015,0.000957015,0.000957015
9,74.3979,1.54188,1.02118,0.9673,0.81715,0.46012,0.48353,0.26009,1.46414,0.91849,0.93309,0.000935018,0.000935018,0.000935018
10,82.777,1.52688,1.01188,0.96341,0.78221,0.41318,0.46168,0.23831,1.48828,1.01345,0.9391,0.00091302,0.00091302,0.00091302
11,91.4663,1.49621,0.96857,0.95677,0.75607,0.42878,0.48602,0.26798,1.44358,0.90087,0.92847,0.000891022,0.000891022,0.000891022
12,100.117,1.47232,0.95325,0.9511,0.71753,0.44706,0.54583,0.30013,1.43036,0.85456,0.92781,0.000869024,0.000869024,0.000869024
13,108.773,1.49924,0.93829,0.94932,0.70497,0.42638,0.48617,0.25855,1.47077,0.87364,0.92284,0.000847026,0.000847026,0.000847026
14,117.07,1.45775,0.9298,0.94761,0.60984,0.52761,0.54409,0.30278,1.41932,0.88752,0.92247,0.000825029,0.000825029,0.000825029
15,125.507,1.44605,0.89795,0.94393,0.57508,0.51861,0.52537,0.29127,1.39395,0.84634,0.9158,0.000803031,0.000803031,0.000803031
16,132.203,1.44368,0.90426,0.94243,0.64299,0.48088,0.54621,0.31096,1.39236,0.87192,0.91632,0.000781033,0.000781033,0.000781033
17,140.922,1.43714,0.88715,0.94425,0.48272,0.51789,0.52127,0.28614,1.39221,0.84569,0.91877,0.000759035,0.000759035,0.000759035
18,148.928,1.43234,0.87017,0.9384,0.75357,0.45077,0.52727,0.30551,1.3701,0.90681,0.91826,0.000737037,0.000737037,0.000737037
19,157.249,1.42287,0.87245,0.93838,0.61043,0.55902,0.57843,0.32596,1.3684,0.79675,0.90831,0.00071504,0.00071504,0.00071504
20,164.805,1.40415,0.8492,0.93171,0.53767,0.56076,0.55696,0.31361,1.39856,0.80949,0.91806,0.000693042,0.000693042,0.000693042
21,174.653,1.3784,0.82617,0.92881,0.64965,0.52246,0.5784,0.33466,1.3497,0.78753,0.91208,0.000671044,0.000671044,0.000671044
22,183.54,1.40956,0.82844,0.92804,0.67944,0.49526,0.57304,0.33078,1.33159,0.79234,0.90568,0.000649046,0.000649046,0.000649046
23,190.463,1.36488,0.81342,0.9265,0.74507,0.50915,0.59108,0.34941,1.32744,0.79933,0.90321,0.000627048,0.000627048,0.000627048
24,198.745,1.4071,0.82254,0.92527,0.61824,0.54372,0.59954,0.34745,1.35716,0.75634,0.91095,0.000605051,0.000605051,0.000605051
25,207.654,1.35581,0.79357,0.9199,0.6285,0.54584,0.60769,0.35663,1.35442,0.75524,0.904,0.000583053,0.000583053,0.000583053
26,215.789,1.35383,0.79303,0.92029,0.67856,0.48422,0.57322,0.3319,1.32926,0.75841,0.89975,0.000561055,0.000561055,0.000561055
